,iteration,arm,result,total,best_handle_probability,reward
0,0,2,поражение,4,0,0
1,1,1,поражение,4,0,0
2,2,3,победа,5,1,1
3,3,3,победа,6,1,1
4,4,3,победа,7,1,1
5,5,3,победа,8,1,1
6,6,3,поражение,8,1,0
7,7,1,поражение,8,0,0
8,8,2,победа,9,0,1
9,9,2,победа,10,0,1
10,10,2,победа,10,0,1
11,11,2,победа,11,0,1
12,12,2,поражение,11,0,0
13,13,3,победа,12,1,1
14,14,3,поражение,12,1,0
15,15,1,победа,13,0,1
16,16,1,победа,14,0,1
17,17,1,победа,14,0,1
18,18,1,победа,14,0,1
19,19,1,победа,15,0,1
20,20,1,победа,16,0,1
21,21,1,победа,17,0,1
22,22,1,победа,18,0,1
23,23,1,победа,19,0,1
24,24,1,победа,20,0,1
25,25,1,победа,21,0,1
26,26,1,победа,22,0,1
27,27,1,победа,23,0,1
28,28,1,победа,24,0,1
29,29,1,поражение,24,0,0
